Nafn,Númer,Greiningartími,Spátími,Villa,Úrkoma á klst. (mm),Úrkomuklukkustundir (klst.),Hiti (°C),Vindhraði (m/s),Vindátt,Veður,Skýjahula (%),Vindgráður
Akureyri,422,2020-08-18 12:00:00,2020-08-20 15:00:00,,0,0 / 1klst.,12,3,ASA,Heiðskírt,10,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 16:00:00,,0,0 / 1klst.,12,4,ASA,Heiðskírt,10,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 17:00:00,,0,0 / 1klst.,12,4,ASA,Heiðskírt,10,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 18:00:00,,0,0 / 1klst.,11,4,ASA,Heiðskírt,0,114
Akureyri,422,2020-08-18 12:00:00,2020-08-20 19:00:00,,0,0 / 1klst.,11,3,SA,Heiðskírt,0,137
Akureyri,422,2020-08-18 12:00:00,2020-08-20 20:00:00,,0,0 / 1klst.,10,3,SA,Léttskýjað,0,137
Akureyri,422,2020-08-18 12:00:00,2020-08-20 21:00:00,,0,0 / 1klst.,8,3,S,Skýjað,100,183
Akureyri,422,2020-08-18 12:00:00,2020-08-20 22:00:00,,0,0 / 1klst.,7,3,SSV,Alskýjað,90,206
Akureyri,422,2020-08-18 12:00:00,2020-08-20 23:00:00,,0,0 / 1klst.,6,4,SSV,Alskýjað,90,206
Akureyri,422,2020-08-18 12:00:00,2020-08-21 00:00:00,,0,0 / 1klst.,6,3,SV,Alskýjað,100,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 01:00:00,,0,0 / 1klst.,5,3,SV,Alskýjað,80,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 02:00:00,,0,0 / 1klst.,5,3,SV,Alskýjað,90,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 03:00:00,,0,0 / 1klst.,5,3,SV,Alskýjað,100,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 04:00:00,,0,0 / 1klst.,5,3,SV,Alskýjað,100,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 05:00:00,,0,0 / 1klst.,5,3,SV,Alskýjað,100,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 06:00:00,,0,0 / 1klst.,5,3,SV,Alskýjað,100,229
Akureyri,422,2020-08-18 12:00:00,2020-08-21 09:00:00,,0,0 / 3klst.,5,1,NA,Alskýjað,100,45
Akureyri,422,2020-08-18 12:00:00,2020-08-21 12:00:00,,0,0 / 3klst.,7,2,NA,Alskýjað,100,45
Akureyri,422,2020-08-18 12:00:00,2020-08-21 15:00:00,,0,0 / 3klst.,10,2,NA,Skýjað,60,45
Akureyri,422,2020-08-18 12:00:00,2020-08-21 18:00:00,,0,0 / 3klst.,9,3,NA,Heiðskírt,0,45
Akureyri,422,2020-08-18 12:00:00,2020-08-21 21:00:00,,0,0 / 3klst.,6,2,NA,Heiðskírt,10,45
Akureyri,422,2020-08-18 12:00:00,2020-08-22 00:00:00,,0,0 / 3klst.,6,1,ANA,Léttskýjað,40,68
Akureyri,422,2020-08-18 12:00:00,2020-08-22 03:00:00,,0,0 / 3klst.,4,1,ASA,Skýjað,50,114
Akureyri,422,2020-08-18 12:00:00,2020-08-22 06:00:00,,0,0 / 3klst.,3,0,Logn,Skýjað,80,0
Akureyri,422,2020-08-18 12:00:00,2020-08-22 09:00:00,,0,0 / 3klst.,6,1,SSA,Léttskýjað,20,160
Akureyri,422,2020-08-18 12:00:00,2020-08-22 12:00:00,,0,0 / 3klst.,9,0,Logn,Léttskýjað,60,0
Akureyri,422,2020-08-18 12:00:00,2020-08-22 15:00:00,,0,0 / 3klst.,11,1,NNA,Léttskýjað,50,23
