station_name,pollutantnotation,endtime,the_value,resolution,verification,station_local_id,concentration
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 02:00:00,1.10367,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 03:00:00,2.0105,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 13:00:00,24.7717,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 09:00:00,2.2484,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 17:00:00,2.415,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 10:00:00,14.9067,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 04:00:00,11.7392,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 11:00:00,19.1117,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 15:00:00,12.8125,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 07:00:00,6.22867,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 01:00:00,0.61,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 00:00:00,0.3175,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 21:00:00,2.76283,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 22:00:00,0.767667,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 18:00:00,2.1895,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 12:00:00,22.3033,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 20:00:00,7.86517,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-12 06:00:00,8.55333,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 14:00:00,24.4233,1h,3,STA-IS0028A,µg/m3
Reyðarfjörður Ljósá stöð 2,SO2,2020-08-11 23:00:00,0.410167,1h,3,STA-IS0028A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 19:00:00,0.117833,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-11 16:00:00,-0.323,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 08:00:00,-0.0365001,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 05:00:00,0.460333,1h,3,STA-IS0037A,µg/m3
Kópavogur Dalsmári,H2S,2020-08-12 02:00:00,0.266667,1h,3,STA-IS0037A,µg/m3
